全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL_1,画像_2,画像ライセンス,備考_3
222119,BB00000079,静岡県磐田市,大幟原本,オオノボリゲンポン,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000080,静岡県磐田市,伝一遍上人六字名号,デンイッペンショウニンロクジミョウゴウ,,,,,,,,静岡県磐田市見付3353-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000081,静岡県磐田市,巖谷一六揮毫幟原本,イワヤイチロクキゴウノボリゲンポン,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000082,静岡県磐田市,大般若経,ダイハンニャキョウ,,,,,,,,静岡県磐田市鎌田2065-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000083,静岡県磐田市,中林梧竹筆「不老斎」,ナカバヤシゴチク竹ヒツ「フロウサイ」,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000084,静岡県磐田市,新勅撰和歌集,シンチョクセンワカシュウ,,,,,,,,静岡県磐田市見付3353-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000085,静岡県磐田市,種痘の版木,シュトウノハンギ,,,,,,,,静岡県磐田市個人蔵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000086,静岡県磐田市,伝酒井の太鼓,デンサカイノタイコ,,,,,,,,静岡県磐田市見付2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000087,静岡県磐田市,和算額,ワサンガク,,,,,,,,静岡県磐田市見付1340-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000088,静岡県磐田市,和算額,ワサンガク,,,,,,,,静岡県磐田市鎌田2065-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000089,静岡県磐田市,中教院扁額,チュウキョウインヘンガク,,,,,,,,静岡県磐田市鎌田2065-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000090,静岡県磐田市,前島密書 軍兵衛稲荷大幟,マエジマヒソカショグンベイイナリオオノボリ,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000091,静岡県磐田市,若者定,ワカモノサダメ,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000092,静岡県磐田市,医王寺文書,イオウジモンジョ,,,,,,,,静岡県磐田市鎌田2065-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000093,静岡県磐田市,二子塚古墳出土馬具（馬鐸・杏葉・環鈴）,フタゴヅカコフンシュツドバグ（バタクギョウヨウカンレイ）,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000094,静岡県磐田市,伝広野出土獣帯鏡,デンヒロノシュツドジュウタイキョウ,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000095,静岡県磐田市,伝広野出土変形方格規矩鏡,デンヒロノシュツドヘンケイホウカクキクキョウ,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000096,静岡県磐田市,庚申塚古墳出土遺物,コウシンヅカコフンシュツドイブツ,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000097,静岡県磐田市,阿多古山一里塚,アタゴサンイチリヅカ,,,,,,,,静岡県磐田市見付577他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
