全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,住所
382019,0000000109,愛媛県松山市,泰山城跡,タイノヤマジョウアト,,,市指定史跡,その他,,382019,219000,愛媛県松山市中島大浦・畑里,愛媛県,松山市,中島大浦・畑里,,,33.98989868,132.6270572,,,,,,,,,,,,,1968‐10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/yainoyamajou_ato.html,,愛媛県松山市中島大浦・畑里
382019,0000000110,愛媛県松山市,忽那嶋代官屋敷跡,クツナジマダイカンヤシキアト,,,市指定史跡,その他,,382019,219000,愛媛県松山市中島大浦,愛媛県,松山市,中島大浦,,,33.97819864,132.6280184,,,,,,,,,,,,,1997/12/15,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/kutunajimayasiki_ato.html,,愛媛県松山市中島大浦
382019,0000000111,愛媛県松山市,中山古墳,ナカヤマコフン,,,市指定史跡,その他,,382019,64000,愛媛県松山市小浜,愛媛県,松山市,小浜,,,33.96499973,132.6278855,,,,,,,,,1,基,,,1968‐10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/nakayama_kofun.html,,愛媛県松山市小浜
382019,0000000112,愛媛県松山市,本山城跡,モトヤマジョウアト,,,市指定史跡,その他,,382019,64000,愛媛県松山市小浜大串,愛媛県,松山市,小浜大串,,,33.95714873,132.6342878,,,,,,,,,,,,,1968‐10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/motoyamajou_ato.html,,愛媛県松山市小浜大串
382019,0000000113,愛媛県松山市,クダコ島城塞跡,クダコジマジョウサイアト,,,市指定史跡,その他,,382019,46000,愛媛県松山市宇和間,愛媛県,松山市,宇和間,,,33.96893073,132.5628406,,,,,,,,,,,,,1968‐10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/kudakojima_jousaiato.html,,愛媛県松山市宇和間
382019,0000000114,愛媛県松山市,お茶屋跡,オチャヤアト,,,市指定史跡,その他,,382019,192000,愛媛県松山市津和地,愛媛県,松山市,津和地,,,33.98213283,132.5131471,,,,,,,,,,,,,1982/8/19,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/tuwaji_ochayaato.html,,愛媛県松山市津和地
382019,0000000115,愛媛県松山市,常燈の鼻,ジョウトウノハナ,,,市指定史跡,その他,,382019,192000,愛媛県松山市津和地,愛媛県,松山市,津和地,,,33.98283129,132.5198547,,,,,,,,,,,,,1982/8/20,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/joutouno_hana.html,,愛媛県松山市津和地
382019,0000000116,愛媛県松山市,梅の子島砦跡,ウメノコトウトリデアト,,,市指定史跡,その他,,382019,330000,愛媛県松山市睦月,愛媛県,松山市,睦月,,,33.97163592,132.6724439,,,,,,,,,,,,,1968‐10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/umenokojima_toride.html,,愛媛県松山市睦月
382019,0000000117,愛媛県松山市,梅の子本城跡,ウメノコホンジョウアト,,,市指定史跡,その他,,382019,330000,愛媛県松山市睦月,愛媛県,松山市,睦月,,,33.96803308,132.6680135,,,,,,,,,,,,,2004/12/15,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/umenokohonjou_ato.html,,愛媛県松山市睦月
382019,0000000118,愛媛県松山市,三本杉,サンボンスギ,,,市指定天然記念物,その他,,382019,265000,愛媛県松山市福見川町,愛媛県,松山市,福見川町,,,33.89036209,132.8739806,,,,,,,,,2,本,,,1962/11/5,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/fukumigawasanbonsugi.html,,愛媛県松山市福見川町
