level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
3	1	81	0	0	0	457.510000	200.289080	98.942400	5.880000	-1	###FLOW###
4	1	81	0	0	0	457.510000	200.289080	98.942400	5.880000	-1	###LINE###
5	1	81	0	0	0	457.51	200.29	98.94	5.88	100	由利本荘市岩城亀田大町字地蔵坂1-1
3	1	82	0	0	0	575.110000	200.289080	29.880000	5.880000	-1	###FLOW###
4	1	82	0	0	0	575.110000	200.289080	29.880000	5.880000	-1	###LINE###
5	1	82	0	0	0	575.11	200.29	29.88	5.88	100	由利本荘市
3	1	83	0	0	0	627.580000	200.289080	29.880000	5.880000	-1	###FLOW###
4	1	83	0	0	0	627.580000	200.289080	29.880000	5.880000	-1	###LINE###
5	1	83	0	0	0	627.58	200.29	29.88	5.88	100	（株）岩城
3	1	84	0	0	0	50.160000	217.839080	2.940000	5.880000	-1	###FLOW###
4	1	84	0	0	0	50.160000	217.839080	2.940000	5.880000	-1	###LINE###
5	1	84	0	0	0	50.16	217.84	2.94	5.88	100	8
3	1	85	0	0	0	67.320000	217.839080	26.848080	5.880000	-1	###FLOW###
4	1	85	0	0	0	67.320000	217.839080	26.848080	5.880000	-1	###LINE###
5	1	85	0	0	0	67.32	217.84	5.88	5.88	100	建
5	1	85	0	0	1	76.30	217.84	17.86	5.88	100	第８号
3	1	86	0	0	0	102.600000	217.959080	59.880000	5.880000	-1	###FLOW###
4	1	86	0	0	0	102.600000	217.959080	59.880000	5.880000	-1	###LINE###
5	1	86	0	0	0	102.60	217.96	59.88	5.88	100	有形文化財（建造物）
3	1	87	0	0	0	187.460000	217.959080	17.880000	5.880000	-1	###FLOW###
4	1	87	0	0	0	187.460000	217.959080	17.880000	5.880000	-1	###LINE###
5	1	87	0	0	0	187.46	217.96	17.88	5.88	100	建造物
3	1	88	0	0	0	222.380000	216.608360	30.412800	3.960000	-1	###FLOW###
4	1	88	0	0	0	222.380000	216.608360	30.412800	3.960000	-1	###LINE###
5	1	88	0	0	0	222.38	216.61	13.10	3.96	100	ささきけ
5	1	88	0	0	1	238.09	216.61	14.71	3.96	100	（のうか）
3	1	89	0	0	0	378.770000	217.959080	11.880000	5.880000	-1	###FLOW###
4	1	89	0	0	0	378.770000	217.959080	11.880000	5.880000	-1	###LINE###
5	1	89	0	0	0	378.77	217.96	11.88	5.88	100	１棟
3	1	90	0	0	0	405.770000	217.959080	44.811480	5.880000	-1	###FLOW###
4	1	90	0	0	0	405.770000	217.959080	44.811480	5.880000	-1	###LINE###
5	1	90	0	0	0	405.77	217.96	44.81	5.88	100	昭和60年10月1日
3	1	91	0	0	0	457.510000	217.959080	98.942400	5.880000	-1	###FLOW###
4	1	91	0	0	0	457.510000	217.959080	98.942400	5.880000	-1	###LINE###
5	1	91	0	0	0	457.51	217.96	98.94	5.88	100	由利本荘市岩城亀田大町字地蔵坂1-1
3	1	92	0	0	0	575.110000	217.959080	29.880000	5.880000	-1	###FLOW###
4	1	92	0	0	0	575.110000	217.959080	29.880000	5.880000	-1	###LINE###
5	1	92	0	0	0	575.11	217.96	29.88	5.88	100	由利本荘市
3	1	93	0	0	0	627.580000	217.959080	29.880000	5.880000	-1	###FLOW###
4	1	93	0	0	0	627.580000	217.959080	29.880000	5.880000	-1	###LINE###
5	1	93	0	0	0	627.58	217.96	29.88	5.88	100	（株）岩城
3	1	94	0	0	0	50.160000	235.479080	2.940000	5.880000	-1	###FLOW###
4	1	94	0	0	0	50.160000	235.479080	2.940000	5.880000	-1	###LINE###
5	1	94	0	0	0	50.16	235.48	2.94	5.88	100	9
3	1	95	0	0	0	67.320000	235.479080	26.848080	5.880000	-1	###FLOW###
4	1	95	0	0	0	67.320000	235.479080	26.848080	5.880000	-1	###LINE###
5	1	95	0	0	0	67.32	235.48	5.88	5.88	100	建
5	1	95	0	0	1	76.30	235.48	17.86	5.88	100	第９号
3	1	96	0	0	0	102.600000	235.599080	59.880000	5.880000	-1	###FLOW###
4	1	96	0	0	0	102.600000	235.599080	59.880000	5.880000	-1	###LINE###
5	1	96	0	0	0	102.60	235.60	59.88	5.88	100	有形文化財（建造物）
3	1	97	0	0	0	187.460000	235.599080	17.880000	5.880000	-1	###FLOW###
4	1	97	0	0	0	187.460000	235.599080	17.880000	5.880000	-1	###LINE###
5	1	97	0	0	0	187.46	235.60	17.88	5.88	100	建造物
3	1	98	0	0	0	222.380000	234.248360	36.279700	3.960000	-1	###FLOW###
4	1	98	0	0	0	222.380000	234.248360	36.279700	3.960000	-1	###LINE###
5	1	98	0	0	0	222.38	234.25	12.24	3.96	100	とくさわ
5	1	98	0	0	1	234.38	234.25	17.61	3.96	100	ふどうそん
5	1	98	0	0	2	252.38	234.25	6.28	3.96	100	どう
3	1	99	0	0	0	222.380000	167.289080	35.880000	5.880000	-1	###FLOW###
4	1	99	0	0	0	222.380000	167.289080	35.880000	5.880000	-1	###LINE###
5	1	99	0	0	0	222.38	167.29	11.88	5.88	100	熊野
5	1	99	0	0	1	234.38	167.29	23.88	5.88	100	神社神殿
3	1	99	1	0	0	222.380000	184.929080	35.880000	5.880000	-1	###FLOW###
4	1	99	1	0	0	222.380000	184.929080	35.880000	5.880000	-1	###LINE###
5	1	99	1	0	0	222.38	184.93	11.88	5.88	100	稲荷
5	1	99	1	0	1	234.38	184.93	23.88	5.88	100	神社神殿
3	1	100	0	0	0	222.380000	202.569080	65.880000	5.880000	-1	###FLOW###
4	1	100	0	0	0	222.380000	202.569080	65.880000	5.880000	-1	###LINE###
5	1	100	0	0	0	222.38	202.57	17.88	5.88	100	鎌田家
5	1	100	0	0	1	240.38	202.57	47.88	5.88	100	（お抱え鍛冶屋）
